CRL/participant/WellnessDataManagement-Prime/,web-all-participant-wellness-data-management-prime
CRL/pdf-util/,util-all-pdf
CRL/profile/service/,logic-all-profile-service
CRL/profile/webtool/,web-all-profile
CRL/prototype/Basic-Prime/,web-all-prototyper-basic-prime
CRL/quartz-plugin/,util-all-quartz-plugin
CRL/swt-core/,logic-all-swt-core
CRL/websecure-parent/,ws-all-websecure-parent
CRL-PLUS/InsightUtils/,util-all-plus-insight
Examples/JSF/JSFTemplate/,web-all-examples-jsf-template
Examples/JSF/PrimeFacesExample/,web-all-examples-jsf-prime-faces
Examples/JSP/Snoop/,web-all-examples-jsp-snoop
Examples/Spring/Example1Simple/,logic-all-examples-spring-example1-simple
Examples/Spring/TestNamedNativeQuery/,logic-all-examples-spring-test-named-native-query
ILS/ACORD/,logic-ils-acord
ILS/Accessioning/ils-ops/,logic-ils-accessioning-ils-ops
ILS/Accessioning/ils-ops/ils-ops-mf-roundhouse/,logic-ils-accessioning-ils-ops-mf-roundhouse
ILS/ActiveDirectoryAuthentication/,logic-ils-active-directory-authentication
ILS/BarcodeSeparatorPage/,web-ils-barcode-separator-page
ILS/CaseManagementPortal/,web-ils-case-management-portal
ILS/ColdFusion/DEQCReview/,web-ils-cold-fusion-deqc-review
ILS/ColdFusion/DataReductionImages/,web-ils-cold-fusion-data-reduction-images
ILS/ColdFusion/ILSDiscountReport/,web-ils-cold-fusion-ils-discount-report
ILS/ColdFusion/ILSStats/,web-ils-cold-fusion-ils-stats
ILS/ColdFusion/SalivaAdmin/,web-ils-cold-fusion-saliva-admin
ILS/ColdFusion/SalivaTraining/,web-cold-fusion-saliva-training
ILS/ColdFusion/SampleWatch/,web-cold-fusion-sample-watch
ILS/ConsentCopy/,web-ils-consent-copy
ILS/ILSManagementReports/,web-ils-mangement-reports
ILS/LabWareLoadBalancer/,web-ils-lab-ware-load-balancer
ILS/NYLWebServices/,ws-ils-nyl-web-services
ILS/batch-release/batch-release-webapp/,web-ils-batch-release-webapp
ILS/batch-release-old/,logic-ils-batch-release-old
ILS/deltareports/,logic-ils-delta-reports
ILS/documentqc/,web-ils-documentqc
ILS/ecg-review/ecg-review-webapp/,web-ils-ecg-review-webapp
ILS/epostoffice/,logic-ils-epostoffice
ILS/eslip-utilities/,web-ils-eslip-utilities
ILS/esub-parent/,logic-ils-esub
ILS/esub-setup/esub-setup-model/,logic-ils-esub-setup-model
ILS/esub-setup/esub-setup-webapp/,web-ils-esub-setup-webapp
ILS/ezapp-generic/,web-ils-ezapp-generic
ILS/ils-barcode-page-printer/,logic-ils-barcode-page-printer
ILS/ils-rules-engine/,logic-ils-rules-engine
ILS/ils-zipSlip-dataAccess/,logic-ils-zip-slip-data-access
ILS/ipipeline-gateway/,web-ils-ipipeline-gateway
ILS/pic-1119/,web-ils-pic-1119
ILS/pic-118-push/,logic-ils-pic-118-push
ILS/repositoryportal/,web-ils-repositoryportal
ILS/zipzapp-ag/,logic-ils-zipzapp-ag
ILS/zipzapp-billing/,web-ils-zipzapp-billing
ILS/zipzapp-httpunit/,logic-ils-zipzapp-httpunit
ILS/zipzapp-util/,util-ils-zapapp
ILS/zz-multi/zz-abc-war/,web-ils-zz-multi-abc-war
ILS/zz-multi/zz-aig-war/,web-ils-zz-multi-aig-war
ILS/zz-multi/zz-auth-war/,web-ils-zz-multi-auth-war
ILS/zz-multi/zz-base-war/,web-ils-zz-multi-base-war
ILS/zz-multi/zz-core-services/,logic-ils-zz-multi-core-services
ILS/zz-multi/zz-crl-war/,web-ils-zz-multi-war
ILS/zz-multi/zz-httpUnit-test/,logic-ils-zz-multi-http-unit-test
ILS/zz-multi/zz-ing-war/,web-ils-zz-multi-ing-war
ILS/zz-multi/zz-jmeter-test/,logic-ils-zz-multi-jmeter-test
ILS/zz-multi/zz-lc-services/,logic-ils-zz-multi-lc-services
ILS/zz-multi/zz-lc-war/,web-ils-zz-multi-lc-war
ILS/zz-multi/zz-xyz-war/,web-ils-zz-multi-xyz-war
LIS-SRC/GenLabLIS/,logic-lis-src-gen-lab
OasisAdministration/,web-all-oasis-administration
WLS/Accessioning/,web-wls-accessioning
WLS/CrlSpringImport/,logic-wls-spring-import
WLS/OrderEntry/,web-wls-order-entry
WLS/PreAnalytical/,web-wls-pre-analytical
WLS/PreAnalyticalMonitoring/,web-wls-pre-analytical-monitoring
WLS/PreAnalytical_java_8/,util-wls-pre-analytical-java-8
WLS/PreanalyticalRest/,web-wls-pre-analytical-rest
WLS/utils/GenerateCreateFormFoxSample/,util-wls-generate-create-formfox-sample
oasis/OasisCommonImports/,logic-all-oasis-common-imports
oasis/labview/service/crl/RequestFormGeneratorService/,logic-all-oasis-labview-service-request-form-generator
oasis/labview/web/crl/ReportMonitoring/,web-all-oasis-labview-web-report-monitoring
oasis/labview/web/tls/TLSDataEntry/,web-tls-oasis-labview-web-data-entry
oasis/routing/common/cls/CLSLabwareAccessioningCommon/,logic-cls-labware-accessioning
oasis/routing/common/crl/ASTMUtils/,util-all-astm
oasis/routing/common/crl/CDFUtils/,util-all-cdf
oasis/routing/common/crl/HL7Utils/,util-all-hl7
oasis/routing/common/crl/LabOrderCommon/,logic-all-oasis-routing-common-lab-order
oasis/routing/common/crl/OasisCommon/,logic-all-oasis-routing-common
oasis/routing/common/crl/oasis-routing-plugin/,util-all-oasis-routing-common-plugin
oasis/routing/common/tms/TMSCommon/,logic-all-oasis-routing-common-tms
oasis/routing/core/CRLActiveMQCamel/,logic-all-oasis-routing-active-mq-camel
oasis/routing/core/OasisLauncherFramework/,logic-all-oasis-routing-launcher-framework
oasis/routing/launchers/cls/CLSLabWareAccessioningPoller/,orl-cls-lab-ware-accessioning-poll
oasis/routing/launchers/cls/CLSSampleStatusMonitor/,orl-cls-sample-status-monitor
oasis/routing/launchers/cls/CLSStartRefractometerProcess/,orl-cls-start-refractometer-process
oasis/routing/launchers/cls/ClsDigitalOverlayMonitor/,orl-cls-digital-overlay-monitor
oasis/routing/launchers/cls/LISProcessOrdersPollerForGCMS/,orl-cls-lis-process-order-poller-for-gcms
oasis/routing/launchers/cls/ScheduleStartLWOrderWorkflowsByTrackEvent/,orl-cls-schedule-start-lw-order-workflows-by-track-event
oasis/routing/launchers/cls/order-interface-plugin/,orl-cls-order-interface-plugin
oasis/routing/launchers/crl/AuroraTCPPoller/,orl-all-aurora-tcp-poller
oasis/routing/launchers/crl/BiDirectionTCPLauncher/,orl-all-bi-direction-tcp-launcher
oasis/routing/launchers/crl/CRLFilePoller/,orl-all-file-poller
oasis/routing/launchers/crl/EmailPoller/,orl-all-email-poller
